Metabolites,min_glc,max_glc,min_mets_glc,max_mets_glc,min_lacD,max_lacD,min_ac,max_ac,min_etoh,max_etoh
LC_asp-L_c,-13.8155105579643,-2.99573227355399,-8.60602440512285,-7.65219575392963,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_atp_c,-13.8155105579643,-2.99573227355399,-7.3841794760308,-6.29853333335995,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_bglycogen_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_btn_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_chor_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_cit_c,-12.8352060429893,-2.99573227355399,-12.8352060429893,-2.99573227355399,-12.8352060429893,-2.99573227355399,-12.8352060429893,-2.99573227355399,-12.8352060429893,-2.99573227355399
LC_co2_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_coa_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-7.73061285615257,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_colipa_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_ctp_c,-13.8155105579643,-2.99573227355399,-8.85968350036301,-7.88592141457438,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_cys-L_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_datp_c,-13.8155105579643,-2.99573227355399,-11.3389721578468,-9.58576135873597,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_db4p_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_dctp_c,-13.8155105579643,-2.99573227355399,-11.2428983277572,-10.1858504635103,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_dgtp_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
